epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,283.081,1.02713,0.59394,0.85895,0.93127,0.9018,0.95149,0.70865,0.84507,0.53127,0.86614,0.00089141,0.00089141,0.00089141
59,288.284,1.03629,0.60107,0.86655,0.93838,0.88086,0.94613,0.702,0.8224,0.53773,0.85563,0.000881979,0.000881979,0.000881979
60,293.148,1.03933,0.59533,0.8593,0.92989,0.89972,0.95049,0.71517,0.80312,0.52021,0.85779,0.000872547,0.000872547,0.000872547
61,298.004,1.04033,0.60248,0.86076,0.931,0.88432,0.94875,0.70842,0.82585,0.52913,0.87108,0.000863116,0.000863116,0.000863116
62,303.017,1.0478,0.60013,0.86104,0.92436,0.89636,0.95371,0.71087,0.82998,0.54526,0.85775,0.000853685,0.000853685,0.000853685
63,307.794,1.05138,0.60393,0.85673,0.93072,0.88873,0.95185,0.71477,0.81524,0.54922,0.85895,0.000844253,0.000844253,0.000844253
64,312.581,1.05966,0.61081,0.85352,0.9419,0.89222,0.95126,0.71393,0.82388,0.52921,0.8573,0.000834822,0.000834822,0.000834822
65,317.065,1.04234,0.59821,0.85618,0.9421,0.88135,0.94664,0.71342,0.81413,0.5325,0.84897,0.00082539,0.00082539,0.00082539
66,322.001,1.01637,0.58858,0.85218,0.94867,0.87481,0.94927,0.72182,0.80084,0.52663,0.85066,0.000815959,0.000815959,0.000815959
67,326.829,1.02939,0.59503,0.85462,0.93257,0.89703,0.94985,0.72009,0.78209,0.53078,0.85073,0.000806528,0.000806528,0.000806528
68,331.729,1.01716,0.58498,0.85608,0.93162,0.89384,0.95242,0.71716,0.78573,0.52584,0.86268,0.000797096,0.000797096,0.000797096
69,336.935,1.01652,0.58502,0.85623,0.94068,0.87769,0.95279,0.71922,0.80327,0.52525,0.85522,0.000787665,0.000787665,0.000787665
70,341.911,1.00954,0.57821,0.84942,0.94898,0.88532,0.95174,0.72752,0.77597,0.51249,0.85317,0.000778233,0.000778233,0.000778233
